adp_rank,player_name,position,team,sleeper_id,age,years_exp
474,D'Ernest Johnson,RB,,6694,29.0,7
475,Jalen White,RB,,12953,23.0,1
476,Maurice Ffrench,WR,,7234,24.0,2
477,Raheem Mostert,RB,,2749,33.0,11
478,Tavien Feaster,RB,ARI,7103,24.0,2
479,Kellen Mond,QB,,7581,24.0,3
480,Reggie Roberson,WR,,8175,24.0,1
481,Drew Estrada,WR,,8543,25.0,1
482,Dan Arnold,TE,,4741,28.0,6
483,Casey Bauman,QB,,11848,24.0,1
484,Hamze El-Zayat,WR,,12413,25.0,1
485,Khalil Herbert,RB,,7608,27.0,5
486,Zamir White,RB,,8139,26.0,4
487,Terrell Bynum,WR,,11115,26.0,1
488,Hunter Renfrow,WR,,5955,30.0,7
489,Emmanuel Sanders,WR,,538,35.0,12
490,Josh Reynolds,WR,,4171,31.0,9
491,Isaiah Winstead,WR,,11232,25.0,1
492,Quinn Ewers,QB,MIA,12500,23.0,1
493,Will Dissly,TE,,5010,29.0,8
494,Mike Glennon,QB,,1559,33.0,10
495,Deshaun Watson,QB,CLE,4017,30.0,9
496,Cade Klubnik,QB,NYJ,13303,22.0,0
497,Jontre Kirklin,WR,,8628,25.0,2
498,Antoine Green,WR,,11053,25.0,2
499,Marcus Mariota,QB,WAS,2307,32.0,11
500,Melvin Gordon,RB,,2320,30.0,9
